UnitID,ProjectID,BuildingID,LevelID,ZoneID,UnitCode,UnitName,UnitCategory,UnitType,PlannedQuantity,QuantityUOM,PlannedStartDate,PlannedFinishDate,CurrentStatusID,IsCritical
UNT-00016,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-01,01-01-01-016,Apartment 016,Apartment,Type D,11,M2,2025-06-13,2025-07-28,STS-004,TRUE
UNT-00017,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-01,01-01-01-017,Service Module 017,Service Module,Type A,4,M2,2025-04-20,2025-08-05,STS-004,FALSE
UNT-00018,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-01,01-01-01-018,Apartment 018,Apartment,Type C,5,M2,2025-05-21,2025-09-04,STS-001,FALSE
UNT-00019,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-01,01-01-01-019,Apartment 019,Apartment,Type C,3,EA,2025-11-04,2026-02-28,STS-004,FALSE
UNT-00020,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-01,01-01-01-020,Room Package 020,Room Package,Type A,8,M2,2025-07-21,2025-11-01,STS-009,FALSE
UNT-00021,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-01,01-01-01-021,Service Module 021,Service Module,Type B,12,SET,2026-01-15,2026-03-31,STS-004,FALSE
UNT-00022,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-01,01-01-01-022,Plant Item 022,Plant Item,Type C,4,M2,2026-06-25,2026-10-17,STS-006,FALSE
UNT-00023,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-01,01-01-01-023,Facade Panel 023,Facade Panel,Type D,20,EA,2025-08-13,2025-11-22,STS-003,FALSE
UNT-00024,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-01,01-01-01-024,Plant Item 024,Plant Item,Type C,1,EA,2025-12-27,2026-04-18,STS-003,FALSE
UNT-00025,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-01,01-01-01-025,Plant Item 025,Plant Item,Type A,4,EA,2025-08-19,2025-09-18,STS-004,FALSE
UNT-00026,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-01,01-01-01-026,Service Module 026,Service Module,Type B,1,EA,2025-10-25,2025-12-26,STS-005,FALSE
UNT-00027,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-01,01-01-01-027,Service Module 027,Service Module,Type C,9,M2,2026-05-01,2026-06-06,STS-001,TRUE
UNT-00028,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-01,01-01-01-028,Utility Rack 028,Utility Rack,Type A,3,M2,2025-09-24,2025-12-23,STS-009,FALSE
UNT-00029,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-01,01-01-01-029,Utility Rack 029,Utility Rack,Type A,9,SET,2026-03-26,2026-06-16,STS-006,FALSE
UNT-00030,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-01,01-01-01-030,Apartment 030,Apartment,Type C,3,EA,2025-04-21,2025-05-07,STS-007,FALSE
UNT-00031,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-01,01-01-01-031,Plant Item 031,Plant Item,Type A,11,M2,2025-10-03,2026-01-26,STS-005,FALSE
UNT-00032,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-01,01-01-01-032,Plant Item 032,Plant Item,Type B,1,EA,2026-01-17,2026-02-19,STS-005,FALSE
UNT-00033,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-01,01-01-01-033,Utility Rack 033,Utility Rack,Type C,4,EA,2026-05-15,2026-07-28,STS-003,FALSE
UNT-00034,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-01,01-01-01-034,Apartment 034,Apartment,Type D,12,SET,2025-05-24,2025-06-12,STS-006,TRUE
UNT-00035,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-01,01-01-01-035,Facade Panel 035,Facade Panel,Type B,10,SET,2026-03-01,2026-06-05,STS-005,FALSE
UNT-00036,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-01,01-01-01-036,Room Package 036,Room Package,Type C,8,SET,2025-08-09,2025-11-21,STS-001,FALSE
UNT-00037,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-01,01-01-01-037,Apartment 037,Apartment,Type A,2,M2,2026-02-21,2026-04-12,STS-006,TRUE
UNT-00038,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-01,01-01-01-038,Room Package 038,Room Package,Type D,2,SET,2026-02-22,2026-05-07,STS-003,FALSE
UNT-00039,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-01,01-01-01-039,Service Module 039,Service Module,Type A,12,SET,2025-06-22,2025-09-26,STS-003,FALSE
UNT-00040,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-01,01-01-01-040,Facade Panel 040,Facade Panel,Type B,11,M2,2026-04-19,2026-07-17,STS-002,FALSE
UNT-00041,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-01,01-01-01-041,Plant Item 041,Plant Item,Type C,12,M2,2025-11-09,2026-03-02,STS-001,FALSE
UNT-00042,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-01,01-01-01-042,Plant Item 042,Plant Item,Type A,2,M2,2025-03-22,2025-06-15,STS-006,FALSE
UNT-00043,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-01,01-01-01-043,Plant Item 043,Plant Item,Type D,10,M2,2026-04-23,2026-05-27,STS-003,TRUE
UNT-00044,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-01,01-01-01-044,Apartment 044,Apartment,Type B,8,SET,2026-01-02,2026-04-05,STS-006,FALSE
UNT-00045,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-01,01-01-01-045,Apartment 045,Apartment,Type C,12,SET,2026-06-13,2026-09-14,STS-008,FALSE
UNT-00046,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-01,01-01-01-046,Plant Item 046,Plant Item,Type B,2,SET,2025-12-20,2026-04-17,STS-002,TRUE
UNT-00047,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-02,01-01-02-001,Facade Panel 001,Facade Panel,Type A,9,SET,2025-06-19,2025-07-25,STS-005,FALSE
UNT-00048,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-02,01-01-02-002,Service Module 002,Service Module,Type A,8,SET,2025-11-01,2025-12-25,STS-009,TRUE
UNT-00049,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-02,01-01-02-003,Plant Item 003,Plant Item,Type C,4,SET,2026-04-12,2026-05-25,STS-008,FALSE
UNT-00050,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-02,01-01-02-004,Utility Rack 004,Utility Rack,Type C,5,EA,2026-03-22,2026-07-19,STS-001,FALSE
UNT-00051,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-02,01-01-02-005,Facade Panel 005,Facade Panel,Type D,4,EA,2026-07-05,2026-10-10,STS-006,FALSE
UNT-00052,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-02,01-01-02-006,Service Module 006,Service Module,Type A,9,M2,2025-12-19,2026-03-04,STS-006,FALSE
UNT-00053,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-02,01-01-02-007,Utility Rack 007,Utility Rack,Type D,6,EA,2025-02-05,2025-05-22,STS-003,FALSE
UNT-00054,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-02,01-01-02-008,Service Module 008,Service Module,Type A,8,EA,2026-04-30,2026-06-22,STS-006,FALSE
UNT-00055,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-02,01-01-02-009,Plant Item 009,Plant Item,Type C,5,EA,2025-03-16,2025-06-25,STS-002,FALSE
UNT-00056,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-02,01-01-02-010,Room Package 010,Room Package,Type C,11,M2,2025-04-30,2025-06-17,STS-006,FALSE
UNT-00057,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-02,01-01-02-011,Utility Rack 011,Utility Rack,Type A,4,EA,2025-11-08,2026-01-24,STS-004,FALSE
UNT-00058,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-02,01-01-02-012,Utility Rack 012,Utility Rack,Type A,4,SET,2026-03-31,2026-06-07,STS-008,FALSE
UNT-00059,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-02,01-01-02-013,Service Module 013,Service Module,Type C,9,SET,2025-11-12,2025-12-25,STS-001,FALSE
UNT-00060,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-02,01-01-02-014,Facade Panel 014,Facade Panel,Type B,9,EA,2025-10-26,2025-12-29,STS-006,FALSE
UNT-00061,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-02,01-01-02-015,Apartment 015,Apartment,Type B,8,SET,2026-03-31,2026-06-28,STS-002,FALSE
UNT-00062,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-02,01-01-02-016,Service Module 016,Service Module,Type D,5,SET,2026-05-08,2026-08-17,STS-007,FALSE
UNT-00063,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-02,01-01-02-017,Utility Rack 017,Utility Rack,Type C,9,EA,2025-11-30,2026-02-26,STS-003,TRUE
UNT-00064,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-02,01-01-02-018,Plant Item 018,Plant Item,Type B,6,EA,2025-12-31,2026-03-16,STS-009,FALSE
UNT-00065,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-02,01-01-02-019,Apartment 019,Apartment,Type A,10,EA,2026-04-02,2026-04-23,STS-007,TRUE
UNT-00066,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-02,01-01-02-020,Room Package 020,Room Package,Type D,3,EA,2026-04-21,2026-07-15,STS-004,FALSE
UNT-00067,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-02,01-01-02-021,Apartment 021,Apartment,Type A,1,SET,2026-02-23,2026-06-05,STS-007,TRUE
UNT-00068,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-02,01-01-02-022,Service Module 022,Service Module,Type D,2,SET,2025-12-11,2026-01-02,STS-008,FALSE
UNT-00069,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-02,01-01-02-023,Room Package 023,Room Package,Type A,4,M2,2026-02-03,2026-04-01,STS-001,FALSE
UNT-00070,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-02,01-01-02-024,Room Package 024,Room Package,Type A,3,EA,2026-04-22,2026-06-02,STS-003,FALSE
UNT-00071,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-02,01-01-02-025,Plant Item 025,Plant Item,Type D,11,EA,2025-07-27,2025-11-03,STS-006,FALSE
UNT-00072,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-02,01-01-02-026,Apartment 026,Apartment,Type D,9,M2,2025-03-19,2025-05-17,STS-002,FALSE
UNT-00073,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-02,01-01-02-027,Service Module 027,Service Module,Type B,5,M2,2025-04-23,2025-07-23,STS-003,FALSE
UNT-00074,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-02,01-01-02-028,Facade Panel 028,Facade Panel,Type B,4,SET,2026-06-13,2026-08-23,STS-002,FALSE
UNT-00075,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-02,01-01-02-029,Plant Item 029,Plant Item,Type D,1,SET,2025-08-13,2025-11-27,STS-001,TRUE
UNT-00076,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-02,01-01-02-030,Room Package 030,Room Package,Type C,6,EA,2025-05-10,2025-07-24,STS-003,FALSE
UNT-00077,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-02,01-01-02-031,Utility Rack 031,Utility Rack,Type C,10,M2,2026-02-17,2026-03-06,STS-006,TRUE
UNT-00078,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-02,01-01-02-032,Utility Rack 032,Utility Rack,Type C,5,SET,2026-02-11,2026-05-12,STS-007,FALSE
UNT-00079,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-02,01-01-02-033,Plant Item 033,Plant Item,Type A,5,SET,2025-06-10,2025-10-03,STS-009,FALSE
UNT-00080,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-02,01-01-02-034,Service Module 034,Service Module,Type B,12,M2,2025-02-23,2025-04-28,STS-009,FALSE
UNT-00081,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-02,01-01-02-035,Room Package 035,Room Package,Type D,4,SET,2025-03-25,2025-04-30,STS-007,FALSE
UNT-00082,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-02,01-01-02-036,Apartment 036,Apartment,Type C,11,EA,2025-06-07,2025-09-21,STS-004,FALSE
UNT-00083,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-02,01-01-02-037,Plant Item 037,Plant Item,Type A,4,EA,2025-07-23,2025-09-28,STS-006,FALSE
UNT-00084,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-02,01-01-02-038,Utility Rack 038,Utility Rack,Type C,10,SET,2025-12-19,2026-03-26,STS-006,TRUE
UNT-00085,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-02,01-01-02-039,Facade Panel 039,Facade Panel,Type C,18,SET,2025-10-18,2026-02-04,STS-006,TRUE
UNT-00086,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-02,01-01-02-040,Service Module 040,Service Module,Type B,3,SET,2026-02-15,2026-05-15,STS-003,FALSE
UNT-00087,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-02,01-01-02-041,Service Module 041,Service Module,Type C,10,SET,2026-04-09,2026-05-01,STS-007,FALSE
UNT-00088,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-02,01-01-02-042,Service Module 042,Service Module,Type A,12,M2,2026-01-16,2026-05-12,STS-008,FALSE
UNT-00089,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-02,01-01-02-043,Plant Item 043,Plant Item,Type B,2,EA,2025-10-28,2026-02-17,STS-006,TRUE
UNT-00090,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-02,01-01-02-044,Facade Panel 044,Facade Panel,Type C,15,EA,2026-05-31,2026-09-21,STS-003,FALSE
UNT-00091,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-02,01-01-02-045,Utility Rack 045,Utility Rack,Type A,2,SET,2025-09-03,2025-11-18,STS-003,FALSE
UNT-00092,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-02,01-01-02-046,Facade Panel 046,Facade Panel,Type B,12,SET,2026-03-14,2026-06-02,STS-004,FALSE
UNT-00093,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-03,01-01-03-001,Room Package 001,Room Package,Type D,4,SET,2025-08-22,2025-11-03,STS-007,FALSE
UNT-00094,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-03,01-01-03-002,Utility Rack 002,Utility Rack,Type C,1,M2,2026-05-10,2026-06-19,STS-005,FALSE
UNT-00095,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-03,01-01-03-003,Facade Panel 003,Facade Panel,Type B,10,M2,2025-12-28,2026-04-14,STS-003,FALSE
UNT-00096,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-03,01-01-03-004,Service Module 004,Service Module,Type C,9,M2,2025-05-10,2025-06-30,STS-006,FALSE
UNT-00097,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-03,01-01-03-005,Apartment 005,Apartment,Type D,12,SET,2026-06-28,2026-08-01,STS-005,FALSE
UNT-00098,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-03,01-01-03-006,Utility Rack 006,Utility Rack,Type C,6,EA,2026-06-26,2026-10-04,STS-003,FALSE
UNT-00099,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-03,01-01-03-007,Utility Rack 007,Utility Rack,Type D,12,SET,2025-08-02,2025-11-16,STS-003,TRUE
UNT-00100,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-03,01-01-03-008,Utility Rack 008,Utility Rack,Type B,6,M2,2025-11-29,2026-02-28,STS-006,FALSE
UNT-00101,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-03,01-01-03-009,Apartment 009,Apartment,Type A,11,M2,2026-05-13,2026-07-30,STS-007,FALSE
UNT-00102,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-03,01-01-03-010,Service Module 010,Service Module,Type C,7,EA,2026-05-03,2026-06-05,STS-001,FALSE
UNT-00103,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-03,01-01-03-011,Facade Panel 011,Facade Panel,Type C,14,SET,2025-10-07,2025-11-07,STS-001,FALSE
UNT-00104,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-03,01-01-03-012,Utility Rack 012,Utility Rack,Type C,8,SET,2026-03-18,2026-05-28,STS-006,FALSE
UNT-00105,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-03,01-01-03-013,Room Package 013,Room Package,Type B,10,M2,2025-04-22,2025-07-08,STS-006,FALSE
UNT-00106,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-03,01-01-03-014,Plant Item 014,Plant Item,Type B,12,SET,2025-10-12,2025-12-06,STS-003,FALSE
UNT-00107,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-03,01-01-03-015,Apartment 015,Apartment,Type A,10,SET,2026-06-20,2026-08-25,STS-004,FALSE
UNT-00108,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-03,01-01-03-016,Service Module 016,Service Module,Type D,4,M2,2025-04-03,2025-04-17,STS-003,FALSE
UNT-00109,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-03,01-01-03-017,Facade Panel 017,Facade Panel,Type A,12,SET,2025-10-25,2025-12-18,STS-006,FALSE
UNT-00110,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-03,01-01-03-018,Utility Rack 018,Utility Rack,Type C,6,M2,2026-03-24,2026-05-10,STS-007,FALSE
UNT-00111,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-03,01-01-03-019,Utility Rack 019,Utility Rack,Type C,5,M2,2026-05-01,2026-05-23,STS-006,FALSE
UNT-00112,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-03,01-01-03-020,Apartment 020,Apartment,Type C,9,EA,2026-06-13,2026-09-02,STS-009,FALSE
UNT-00113,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-03,01-01-03-021,Service Module 021,Service Module,Type B,10,EA,2025-05-11,2025-07-21,STS-002,FALSE
UNT-00114,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-03,01-01-03-022,Service Module 022,Service Module,Type C,7,EA,2025-11-25,2026-01-07,STS-002,FALSE
UNT-00115,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-03,01-01-03-023,Facade Panel 023,Facade Panel,Type D,16,EA,2026-06-12,2026-07-23,STS-005,FALSE
UNT-00116,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-03,01-01-03-024,Service Module 024,Service Module,Type A,4,M2,2025-03-10,2025-05-14,STS-003,FALSE
UNT-00117,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-03,01-01-03-025,Apartment 025,Apartment,Type D,11,M2,2026-03-30,2026-07-20,STS-003,FALSE
UNT-00118,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-03,01-01-03-026,Plant Item 026,Plant Item,Type D,4,M2,2025-08-31,2025-11-28,STS-003,FALSE
UNT-00119,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-03,01-01-03-027,Apartment 027,Apartment,Type B,12,M2,2025-11-16,2026-01-23,STS-003,FALSE
UNT-00120,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-03,01-01-03-028,Room Package 028,Room Package,Type D,6,M2,2026-02-16,2026-05-15,STS-003,FALSE
UNT-00121,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-03,01-01-03-029,Facade Panel 029,Facade Panel,Type C,15,M2,2025-06-03,2025-06-21,STS-005,FALSE
UNT-00122,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-03,01-01-03-030,Utility Rack 030,Utility Rack,Type C,9,SET,2026-02-14,2026-06-07,STS-003,FALSE
UNT-00123,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-03,01-01-03-031,Room Package 031,Room Package,Type D,7,SET,2026-02-14,2026-02-27,STS-004,FALSE
UNT-00124,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-03,01-01-03-032,Service Module 032,Service Module,Type A,5,SET,2025-05-19,2025-07-13,STS-004,TRUE
UNT-00125,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-03,01-01-03-033,Apartment 033,Apartment,Type A,8,EA,2026-05-13,2026-07-12,STS-007,FALSE
UNT-00126,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-03,01-01-03-034,Facade Panel 034,Facade Panel,Type A,9,M2,2025-04-07,2025-05-10,STS-006,FALSE
UNT-00127,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-03,01-01-03-035,Service Module 035,Service Module,Type A,6,M2,2025-08-07,2025-10-25,STS-003,TRUE
UNT-00128,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-03,01-01-03-036,Facade Panel 036,Facade Panel,Type B,4,M2,2026-04-17,2026-08-01,STS-006,FALSE
UNT-00129,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-03,01-01-03-037,Plant Item 037,Plant Item,Type C,9,SET,2025-05-13,2025-08-03,STS-002,FALSE
UNT-00130,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-03,01-01-03-038,Plant Item 038,Plant Item,Type C,6,SET,2025-10-14,2025-12-06,STS-009,FALSE
UNT-00131,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-03,01-01-03-039,Room Package 039,Room Package,Type A,4,M2,2025-05-19,2025-07-16,STS-004,FALSE
UNT-00132,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-03,01-01-03-040,Service Module 040,Service Module,Type B,7,EA,2026-05-29,2026-09-12,STS-003,FALSE
UNT-00133,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-03,01-01-03-041,Plant Item 041,Plant Item,Type D,9,EA,2025-10-24,2025-12-17,STS-006,FALSE
UNT-00134,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-03,01-01-03-042,Plant Item 042,Plant Item,Type D,12,M2,2025-10-27,2025-12-15,STS-006,TRUE
UNT-00135,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-03,01-01-03-043,Service Module 043,Service Module,Type B,8,SET,2026-01-21,2026-05-08,STS-008,FALSE
UNT-00136,PRJ-001,BLD-001-01,LVL-001-01-01,ZON-001-01-01-03,01-01-03-044,Plant Item 044,Plant Item,Type B,12,SET,2025-07-12,2025-10-16,STS-004,FALSE
UNT-00137,PRJ-001,BLD-001-01,LVL-001-01-02,ZON-001-01-02-01,01-02-01-001,Plant Item 001,Plant Item,Type B,5,SET,2025-08-19,2025-10-01,STS-005,FALSE
UNT-00138,PRJ-001,BLD-001-01,LVL-001-01-02,ZON-001-01-02-01,01-02-01-002,Utility Rack 002,Utility Rack,Type C,11,EA,2025-04-22,2025-05-10,STS-006,TRUE
UNT-00139,PRJ-001,BLD-001-01,LVL-001-01-02,ZON-001-01-02-01,01-02-01-003,Service Module 003,Service Module,Type C,5,M2,2025-06-08,2025-07-05,STS-003,FALSE
