DeliveryID,UnitID,ProjectID,ContractorID,PlannedDeliveryDate,ActualDeliveryDate,DeliveryStatus,QuantityDelivered,TransportBatch,DelayDays
DLV-000051,UNT-03266,PRJ-002,CTR-007,2026-02-24,2026-03-13,Delayed,9,TB-2602-007,17
DLV-000052,UNT-01905,PRJ-001,CTR-006,2026-03-24,2026-03-27,Delayed,6,TB-2603-027,3
DLV-000053,UNT-02530,PRJ-001,CTR-002,2025-07-26,2025-08-06,Delayed,19,TB-2507-014,11
DLV-000054,UNT-05171,PRJ-003,CTR-008,2025-04-28,2025-05-08,Delayed,8,TB-2504-030,10
DLV-000055,UNT-00580,PRJ-001,CTR-006,2025-11-11,2025-11-17,Delayed,1,TB-2511-014,6
DLV-000056,UNT-01427,PRJ-001,CTR-003,2026-04-26,2026-05-06,Delayed,15,TB-2604-023,10
DLV-000057,UNT-02363,PRJ-001,CTR-005,2025-10-01,2025-10-19,Delayed,8,TB-2510-024,18
DLV-000058,UNT-03172,PRJ-002,CTR-007,2026-06-11,2026-06-15,Delayed,6,TB-2606-027,4
DLV-000059,UNT-01349,PRJ-001,CTR-007,2025-04-02,2025-04-02,Delivered,2,TB-2504-045,0
DLV-000060,UNT-03609,PRJ-002,CTR-001,2025-10-15,2025-10-31,Delayed,10,TB-2510-002,16
DLV-000061,UNT-00954,PRJ-001,CTR-007,2025-07-25,2025-08-06,Delayed,2,TB-2507-016,12
DLV-000062,UNT-02143,PRJ-001,CTR-007,2025-04-27,2025-05-05,Delayed,4,TB-2504-027,8
DLV-000063,UNT-00256,PRJ-001,CTR-007,2025-03-09,2025-03-10,Delayed,5,TB-2503-021,1
DLV-000064,UNT-03801,PRJ-002,CTR-005,2026-03-18,2026-03-31,Delayed,5,TB-2603-041,13
DLV-000065,UNT-03034,PRJ-002,CTR-002,2026-01-21,2026-01-29,Delayed,3,TB-2601-004,8
DLV-000066,UNT-04293,PRJ-002,CTR-004,2025-03-29,2025-04-08,Delayed,10,TB-2503-038,10
DLV-000067,UNT-03898,PRJ-002,CTR-007,2025-04-16,2025-04-30,Delayed,12,TB-2504-024,14
DLV-000068,UNT-03504,PRJ-002,CTR-006,2026-03-29,2026-03-29,Delivered,12,TB-2603-043,0
DLV-000069,UNT-05800,PRJ-003,CTR-006,2025-06-30,2025-07-06,Delayed,10,TB-2506-005,6
DLV-000070,UNT-04659,PRJ-002,CTR-002,2025-04-13,2025-04-26,Delayed,18,TB-2504-038,13
DLV-000071,UNT-00149,PRJ-001,CTR-003,2026-01-20,2026-01-23,Delayed,9,TB-2601-019,3
DLV-000072,UNT-06455,PRJ-003,CTR-001,2026-09-14,2026-09-14,Delivered,7,TB-2609-034,0
DLV-000073,UNT-00752,PRJ-001,CTR-007,2024-12-20,,Planned,9,TB-2412-030,0
DLV-000074,UNT-06258,PRJ-003,CTR-003,2025-05-19,,Planned,9,TB-2505-009,0
DLV-000075,UNT-02345,PRJ-001,CTR-001,2024-12-24,2025-01-05,Delayed,9,TB-2412-019,12
DLV-000076,UNT-00546,PRJ-001,CTR-007,2025-09-06,2025-09-20,Delayed,9,TB-2509-026,14
DLV-000077,UNT-05300,PRJ-003,CTR-004,2025-06-15,2025-06-15,Delivered,8,TB-2506-015,0
DLV-000078,UNT-00250,PRJ-001,CTR-003,2025-12-12,2025-12-13,Delayed,4,TB-2512-039,1
DLV-000079,UNT-03169,PRJ-002,CTR-003,2026-01-25,,Planned,1,TB-2601-026,0
DLV-000080,UNT-05787,PRJ-003,CTR-007,2026-06-03,2026-06-07,Delayed,1,TB-2606-045,4
DLV-000081,UNT-04860,PRJ-002,CTR-008,2025-11-24,2025-11-24,Delivered,6,TB-2511-005,0
DLV-000082,UNT-00433,PRJ-001,CTR-002,2025-11-08,,Planned,2,TB-2511-040,0
DLV-000083,UNT-01143,PRJ-001,CTR-002,2025-10-09,2025-10-26,Delayed,5,TB-2510-006,17
DLV-000084,UNT-04806,PRJ-002,CTR-007,2025-05-19,2025-05-27,Delayed,6,TB-2505-012,8
DLV-000085,UNT-03724,PRJ-002,CTR-006,2025-06-23,2025-07-05,Delayed,4,TB-2506-008,12
DLV-000086,UNT-05636,PRJ-003,CTR-005,2025-06-18,2025-06-20,Delayed,18,TB-2506-038,2
DLV-000087,UNT-00572,PRJ-001,CTR-003,2026-01-21,2026-01-30,Delayed,3,TB-2601-014,9
DLV-000088,UNT-05904,PRJ-003,CTR-002,2025-08-11,2025-08-13,Delayed,8,TB-2508-040,2
DLV-000089,UNT-02650,PRJ-002,CTR-005,2025-09-18,2025-10-01,Delayed,20,TB-2509-029,13
DLV-000090,UNT-04385,PRJ-002,CTR-005,2026-05-23,2026-05-29,Delayed,5,TB-2605-026,6
DLV-000091,UNT-02636,PRJ-002,CTR-005,2025-02-13,2025-02-14,Delayed,10,TB-2502-002,1
DLV-000092,UNT-02470,PRJ-001,CTR-008,2025-06-29,2025-07-08,Delayed,7,TB-2506-010,9
DLV-000093,UNT-02475,PRJ-001,CTR-001,2026-03-16,,Planned,8,TB-2603-015,0
DLV-000094,UNT-02699,PRJ-002,CTR-001,2025-08-29,2025-08-29,Delivered,12,TB-2508-033,0
DLV-000095,UNT-00121,PRJ-001,CTR-003,2025-05-13,2025-05-24,Delayed,15,TB-2505-023,11
DLV-000096,UNT-02702,PRJ-002,CTR-004,2026-01-17,2026-01-31,Delayed,7,TB-2601-033,14
DLV-000097,UNT-05362,PRJ-003,CTR-007,2026-07-09,2026-07-20,Delayed,14,TB-2607-032,11
DLV-000098,UNT-03741,PRJ-002,CTR-005,2026-07-09,,Planned,6,TB-2607-016,0
DLV-000099,UNT-05793,PRJ-003,CTR-003,2026-06-13,2026-06-24,Delayed,5,TB-2606-013,11
DLV-000100,UNT-00287,PRJ-001,CTR-001,2025-03-14,2025-03-15,Delayed,7,TB-2503-012,1
DLV-000101,UNT-03831,PRJ-002,CTR-005,2026-06-29,,Planned,13,TB-2606-018,0
DLV-000102,UNT-04232,PRJ-002,CTR-001,2026-01-22,2026-02-09,Delayed,12,TB-2601-029,18
DLV-000103,UNT-03220,PRJ-002,CTR-003,2026-07-02,2026-07-03,Delayed,2,TB-2607-010,1
DLV-000104,UNT-04157,PRJ-002,CTR-002,2025-06-11,2025-06-12,Delayed,5,TB-2506-004,1
DLV-000105,UNT-05847,PRJ-003,CTR-001,2025-11-05,2025-11-18,Delayed,12,TB-2511-034,13
DLV-000106,UNT-02597,PRJ-002,CTR-006,2025-02-28,2025-03-08,Delayed,12,TB-2502-011,8
DLV-000107,UNT-04107,PRJ-002,CTR-008,2025-06-23,2025-06-28,Delayed,1,TB-2506-041,5
DLV-000108,UNT-04535,PRJ-002,CTR-005,2025-07-13,2025-07-19,Delayed,12,TB-2507-032,6
DLV-000109,UNT-01476,PRJ-001,CTR-002,2026-02-07,2026-02-10,Delayed,3,TB-2602-010,3
DLV-000110,UNT-03549,PRJ-002,CTR-004,2025-12-21,2026-01-03,Delayed,4,TB-2512-037,13
DLV-000111,UNT-00115,PRJ-001,CTR-007,2026-04-25,,Planned,16,TB-2604-035,0
DLV-000112,UNT-06361,PRJ-003,CTR-001,2026-08-27,,Planned,4,TB-2608-020,0
DLV-000113,UNT-02853,PRJ-002,CTR-005,2026-07-01,2026-07-17,Delayed,4,TB-2607-013,16
DLV-000114,UNT-00336,PRJ-001,CTR-004,2025-04-23,2025-04-23,Delivered,5,TB-2504-010,0
DLV-000115,UNT-00472,PRJ-001,CTR-005,2026-01-30,2026-02-16,Delayed,3,TB-2601-020,17
DLV-000116,UNT-04418,PRJ-002,CTR-002,2025-07-26,2025-07-31,Delayed,8,TB-2507-044,5
DLV-000117,UNT-01547,PRJ-001,CTR-007,2025-07-10,2025-07-15,Delayed,14,TB-2507-031,5
DLV-000118,UNT-05247,PRJ-003,CTR-006,2025-06-23,,Planned,5,TB-2506-045,0
DLV-000119,UNT-02308,PRJ-001,CTR-006,2025-03-14,,Planned,5,TB-2503-012,0
DLV-000120,UNT-05779,PRJ-003,CTR-006,2025-08-25,2025-08-25,Delivered,14,TB-2508-040,0
DLV-000121,UNT-03637,PRJ-002,CTR-004,2026-04-13,2026-04-26,Delayed,17,TB-2604-038,13
DLV-000122,UNT-06490,PRJ-003,CTR-003,2025-05-12,2025-05-12,Delivered,19,TB-2505-022,0
DLV-000123,UNT-05175,PRJ-003,CTR-001,2025-04-15,2025-04-30,Delayed,6,TB-2504-044,15
DLV-000124,UNT-00930,PRJ-001,CTR-005,2025-06-02,2025-06-08,Delayed,12,TB-2506-025,6
DLV-000125,UNT-04402,PRJ-002,CTR-007,2026-05-30,2026-06-13,Delayed,7,TB-2605-035,14
DLV-000126,UNT-03947,PRJ-002,CTR-003,2026-05-07,2026-05-25,Delayed,12,TB-2605-023,18
DLV-000127,UNT-03806,PRJ-002,CTR-007,2026-06-02,2026-06-14,Delayed,10,TB-2606-017,12
DLV-000128,UNT-04078,PRJ-002,CTR-002,2026-04-20,2026-05-08,Delayed,13,TB-2604-004,18
DLV-000129,UNT-04094,PRJ-002,CTR-001,2025-12-25,2025-12-25,Delivered,12,TB-2512-037,0
DLV-000130,UNT-01182,PRJ-001,CTR-008,2025-10-06,2025-10-21,Delayed,15,TB-2510-004,15
DLV-000131,UNT-01121,PRJ-001,CTR-005,2026-06-05,,Planned,10,TB-2606-022,0
DLV-000132,UNT-06373,PRJ-003,CTR-006,2025-05-10,2025-05-14,Delayed,5,TB-2505-040,4
DLV-000133,UNT-00854,PRJ-001,CTR-006,2025-09-13,2025-09-30,Delayed,8,TB-2509-032,17
DLV-000134,UNT-05599,PRJ-003,CTR-002,2026-04-30,,Planned,2,TB-2604-019,0
DLV-000135,UNT-01708,PRJ-001,CTR-007,2025-09-19,2025-10-07,Delayed,3,TB-2509-029,18
DLV-000136,UNT-02468,PRJ-001,CTR-001,2024-12-17,2025-01-01,Delayed,1,TB-2412-041,15
DLV-000137,UNT-02776,PRJ-002,CTR-005,2026-07-06,2026-07-20,Delayed,10,TB-2607-030,14
DLV-000138,UNT-00173,PRJ-001,CTR-001,2025-06-02,2025-06-14,Delayed,1,TB-2506-036,12
DLV-000139,UNT-06185,PRJ-003,CTR-005,2025-10-01,,Planned,5,TB-2510-021,0
DLV-000140,UNT-01720,PRJ-001,CTR-002,2025-02-09,2025-02-19,Delayed,9,TB-2502-033,10
DLV-000141,UNT-01217,PRJ-001,CTR-001,2025-06-15,2025-06-15,Delivered,11,TB-2506-040,0
DLV-000142,UNT-04421,PRJ-002,CTR-005,2026-06-12,2026-06-25,Delayed,8,TB-2606-039,13
DLV-000143,UNT-04010,PRJ-002,CTR-005,2026-05-12,2026-05-12,Delivered,3,TB-2605-004,0
DLV-000144,UNT-01426,PRJ-001,CTR-006,2025-03-20,,Planned,6,TB-2503-035,0
DLV-000145,UNT-03570,PRJ-002,CTR-006,2026-06-02,2026-06-12,Delayed,1,TB-2606-040,10
DLV-000146,UNT-02056,PRJ-001,CTR-008,2025-06-28,2025-07-14,Delayed,1,TB-2506-033,16
DLV-000147,UNT-05288,PRJ-003,CTR-001,2026-03-18,2026-03-27,Delayed,2,TB-2603-031,9
DLV-000148,UNT-02894,PRJ-002,CTR-007,2025-09-21,2025-09-21,Delivered,4,TB-2509-040,0
DLV-000149,UNT-04475,PRJ-002,CTR-002,2025-01-22,,Planned,18,TB-2501-024,0
DLV-000150,UNT-05685,PRJ-003,CTR-006,2026-03-07,2026-03-11,Delayed,4,TB-2603-045,4
DLV-000151,UNT-06359,PRJ-003,CTR-005,2025-06-28,,Planned,5,TB-2506-039,0
DLV-000152,UNT-04358,PRJ-002,CTR-006,2025-02-12,2025-02-17,Delayed,9,TB-2502-007,5
DLV-000153,UNT-06295,PRJ-003,CTR-002,2025-10-21,2025-10-21,Delivered,11,TB-2510-038,0
DLV-000154,UNT-00077,PRJ-001,CTR-002,2025-12-21,,Planned,10,TB-2512-029,0
DLV-000155,UNT-04918,PRJ-002,CTR-001,2025-09-25,2025-10-12,Delayed,2,TB-2509-004,17
DLV-000156,UNT-01253,PRJ-001,CTR-004,2026-01-02,,Planned,1,TB-2601-020,0
DLV-000157,UNT-04308,PRJ-002,CTR-006,2025-04-23,2025-04-23,Delivered,9,TB-2504-015,0
DLV-000158,UNT-03458,PRJ-002,CTR-008,2025-07-01,2025-07-14,Delayed,9,TB-2507-036,13
DLV-000159,UNT-06415,PRJ-003,CTR-002,2026-08-19,2026-08-27,Delayed,7,TB-2608-009,8
DLV-000160,UNT-03759,PRJ-002,CTR-007,2026-04-27,2026-05-05,Delayed,16,TB-2604-020,8
DLV-000161,UNT-00877,PRJ-001,CTR-003,2026-02-10,2026-02-16,Delayed,9,TB-2602-024,6
DLV-000162,UNT-02406,PRJ-001,CTR-003,2025-07-01,2025-07-07,Delayed,1,TB-2507-002,6
DLV-000163,UNT-05837,PRJ-003,CTR-005,2026-01-16,2026-01-20,Delayed,8,TB-2601-023,4
DLV-000164,UNT-02244,PRJ-001,CTR-007,2025-10-11,,Planned,3,TB-2510-040,0
DLV-000165,UNT-02864,PRJ-002,CTR-005,2025-11-03,2025-11-03,Delivered,4,TB-2511-044,0
DLV-000166,UNT-04474,PRJ-002,CTR-003,2025-08-09,2025-08-24,Delayed,16,TB-2508-036,15
DLV-000167,UNT-02257,PRJ-001,CTR-008,2025-01-12,2025-01-19,Delayed,12,TB-2501-018,7
DLV-000168,UNT-01029,PRJ-001,CTR-005,2025-12-15,2025-12-17,Delayed,12,TB-2512-033,2
DLV-000169,UNT-01785,PRJ-001,CTR-007,2025-10-07,2025-10-25,Delayed,7,TB-2510-002,18
DLV-000170,UNT-01178,PRJ-001,CTR-004,2025-06-03,,Planned,5,TB-2506-044,0
DLV-000171,UNT-00042,PRJ-001,CTR-005,2025-02-16,2025-02-26,Delayed,2,TB-2502-025,10
DLV-000172,UNT-02386,PRJ-001,CTR-008,2025-04-23,2025-05-04,Delayed,11,TB-2504-017,11
DLV-000173,UNT-06002,PRJ-003,CTR-003,2026-06-03,2026-06-10,Delayed,11,TB-2606-040,7
DLV-000174,UNT-06025,PRJ-003,CTR-002,2025-10-05,2025-10-23,Delayed,11,TB-2510-042,18
DLV-000175,UNT-01991,PRJ-001,CTR-002,2026-01-02,2026-01-16,Delayed,5,TB-2601-034,14
DLV-000176,UNT-04925,PRJ-002,CTR-004,2025-12-26,2026-01-08,Delayed,16,TB-2512-005,13
DLV-000177,UNT-02267,PRJ-001,CTR-003,2026-03-04,2026-03-04,Delivered,12,TB-2603-017,0
DLV-000178,UNT-03517,PRJ-002,CTR-001,2025-02-12,,Planned,12,TB-2502-002,0
DLV-000179,UNT-02723,PRJ-002,CTR-002,2025-10-21,,Planned,8,TB-2510-019,0
DLV-000180,UNT-01950,PRJ-001,CTR-007,2025-10-07,,Planned,1,TB-2510-027,0
DLV-000181,UNT-01589,PRJ-001,CTR-004,2025-05-13,2025-05-13,Delivered,1,TB-2505-018,0
DLV-000182,UNT-01637,PRJ-001,CTR-002,2026-05-02,2026-05-02,Delivered,8,TB-2605-041,0
DLV-000183,UNT-04114,PRJ-002,CTR-007,2026-04-22,2026-04-25,Delayed,2,TB-2604-009,3
DLV-000184,UNT-01149,PRJ-001,CTR-006,2026-02-25,2026-02-25,Delivered,1,TB-2602-009,0
DLV-000185,UNT-01797,PRJ-001,CTR-006,2025-01-10,2025-01-10,Delivered,3,TB-2501-008,0
DLV-000186,UNT-02023,PRJ-001,CTR-007,2026-05-29,2026-06-03,Delayed,5,TB-2605-027,5
DLV-000187,UNT-05486,PRJ-003,CTR-005,2025-11-25,2025-11-28,Delayed,6,TB-2511-029,3
DLV-000188,UNT-01953,PRJ-001,CTR-002,2025-03-28,2025-04-04,Delayed,4,TB-2503-029,7
DLV-000189,UNT-04106,PRJ-002,CTR-006,2025-12-31,2026-01-05,Delayed,11,TB-2512-028,5
DLV-000190,UNT-04506,PRJ-002,CTR-008,2025-08-24,,Planned,2,TB-2508-034,0
DLV-000191,UNT-02923,PRJ-002,CTR-005,2026-04-06,2026-04-17,Delayed,4,TB-2604-028,11
DLV-000192,UNT-02565,PRJ-001,CTR-001,2025-11-08,2025-11-08,Delivered,17,TB-2511-001,0
DLV-000193,UNT-02462,PRJ-001,CTR-002,2025-02-20,,Planned,8,TB-2502-021,0
DLV-000194,UNT-03867,PRJ-002,CTR-004,2025-12-01,2025-12-08,Delayed,10,TB-2512-020,7
DLV-000195,UNT-04309,PRJ-002,CTR-008,2025-05-05,2025-05-16,Delayed,7,TB-2505-037,11
DLV-000196,UNT-00217,PRJ-001,CTR-007,2024-12-19,,Planned,5,TB-2412-005,0
DLV-000197,UNT-03001,PRJ-002,CTR-004,2025-04-26,,Planned,16,TB-2504-007,0
DLV-000198,UNT-02959,PRJ-002,CTR-004,2025-06-16,2025-07-02,Delayed,2,TB-2506-006,16
DLV-000199,UNT-03063,PRJ-002,CTR-005,2025-12-30,2026-01-03,Delayed,1,TB-2512-022,4
DLV-000200,UNT-05936,PRJ-003,CTR-005,2025-12-20,2025-12-26,Delayed,5,TB-2512-030,6
DLV-000201,UNT-06038,PRJ-003,CTR-005,2026-05-09,2026-05-27,Delayed,1,TB-2605-002,18
DLV-000202,UNT-06164,PRJ-003,CTR-003,2025-07-12,,Planned,11,TB-2507-031,0
DLV-000203,UNT-05216,PRJ-003,CTR-001,2026-05-29,,Planned,10,TB-2605-016,0
DLV-000204,UNT-03058,PRJ-002,CTR-006,2025-04-21,,Planned,3,TB-2504-025,0
DLV-000205,UNT-05263,PRJ-003,CTR-002,2025-09-30,2025-10-18,Delayed,5,TB-2509-010,18
DLV-000206,UNT-06116,PRJ-003,CTR-006,2026-03-02,2026-03-04,Delayed,1,TB-2603-042,2
DLV-000207,UNT-00434,PRJ-001,CTR-005,2024-12-23,2025-01-08,Delayed,1,TB-2412-041,16
DLV-000208,UNT-04420,PRJ-002,CTR-005,2025-07-13,2025-07-19,Delayed,4,TB-2507-031,6
DLV-000209,UNT-05822,PRJ-003,CTR-002,2025-07-23,2025-08-08,Delayed,5,TB-2507-005,16
DLV-000210,UNT-00696,PRJ-001,CTR-004,2025-08-11,2025-08-11,Delivered,7,TB-2508-030,0
DLV-000211,UNT-04161,PRJ-002,CTR-003,2025-09-08,,Planned,2,TB-2509-036,0
DLV-000212,UNT-00641,PRJ-001,CTR-004,2025-05-24,2025-06-02,Delayed,5,TB-2505-043,9
DLV-000213,UNT-00767,PRJ-001,CTR-004,2025-07-06,2025-07-16,Delayed,1,TB-2507-045,10
DLV-000214,UNT-00066,PRJ-001,CTR-003,2026-03-01,2026-03-01,Delivered,3,TB-2603-028,0
DLV-000215,UNT-00229,PRJ-001,CTR-002,2025-11-19,2025-11-21,Delayed,9,TB-2511-034,2
DLV-000216,UNT-01789,PRJ-001,CTR-004,2025-07-04,2025-07-06,Delayed,12,TB-2507-006,2
DLV-000217,UNT-04144,PRJ-002,CTR-005,2025-03-18,2025-04-04,Delayed,4,TB-2503-003,17
DLV-000218,UNT-03309,PRJ-002,CTR-008,2026-06-05,2026-06-11,Delayed,8,TB-2606-039,6
DLV-000219,UNT-00262,PRJ-001,CTR-001,2026-03-24,2026-04-11,Delayed,19,TB-2603-038,18
DLV-000220,UNT-06406,PRJ-003,CTR-008,2025-10-14,2025-10-28,Delayed,6,TB-2510-009,14
DLV-000221,UNT-00799,PRJ-001,CTR-006,2025-03-25,2025-04-01,Delayed,6,TB-2503-037,7
DLV-000222,UNT-04427,PRJ-002,CTR-001,2025-05-22,2025-06-07,Delayed,3,TB-2505-005,16
DLV-000223,UNT-04300,PRJ-002,CTR-004,2026-01-20,2026-01-20,Delivered,12,TB-2601-020,0
DLV-000224,UNT-01795,PRJ-001,CTR-008,2025-08-19,2025-08-29,Delayed,5,TB-2508-017,10
DLV-000225,UNT-03603,PRJ-002,CTR-006,2025-03-22,,Planned,5,TB-2503-040,0
DLV-000226,UNT-04425,PRJ-002,CTR-008,2026-06-18,2026-06-21,Delayed,12,TB-2606-003,3
DLV-000227,UNT-05254,PRJ-003,CTR-007,2025-12-20,2026-01-01,Delayed,1,TB-2512-030,12
DLV-000228,UNT-00182,PRJ-001,CTR-001,2025-02-25,2025-03-11,Delayed,15,TB-2502-008,14
DLV-000229,UNT-01765,PRJ-001,CTR-008,2025-09-03,2025-09-03,Delivered,9,TB-2509-017,0
DLV-000230,UNT-05411,PRJ-003,CTR-002,2026-03-28,2026-04-15,Delayed,10,TB-2603-006,18
DLV-000231,UNT-00539,PRJ-001,CTR-005,2025-11-17,2025-11-23,Delayed,18,TB-2511-005,6
DLV-000232,UNT-00810,PRJ-001,CTR-003,2026-04-03,2026-04-13,Delayed,11,TB-2604-027,10
DLV-000233,UNT-00353,PRJ-001,CTR-004,2025-11-15,2025-11-27,Delayed,17,TB-2511-038,12
DLV-000234,UNT-00951,PRJ-001,CTR-005,2025-06-12,2025-06-28,Delayed,4,TB-2506-003,16
DLV-000235,UNT-06257,PRJ-003,CTR-003,2025-10-20,,Planned,11,TB-2510-032,0
DLV-000236,UNT-05304,PRJ-003,CTR-007,2026-01-12,2026-01-23,Delayed,10,TB-2601-035,11
DLV-000237,UNT-03348,PRJ-002,CTR-002,2025-02-22,2025-02-22,Delivered,17,TB-2502-037,0
DLV-000238,UNT-06369,PRJ-003,CTR-004,2025-07-09,2025-07-17,Delayed,3,TB-2507-018,8
DLV-000239,UNT-02613,PRJ-002,CTR-008,2026-04-21,2026-05-07,Delayed,9,TB-2604-036,16
DLV-000240,UNT-02553,PRJ-001,CTR-007,2025-03-17,2025-03-30,Delayed,5,TB-2503-033,13
DLV-000241,UNT-05444,PRJ-003,CTR-006,2025-12-05,2025-12-13,Delayed,17,TB-2512-023,8
DLV-000242,UNT-01333,PRJ-001,CTR-007,2025-11-06,2025-11-13,Delayed,8,TB-2511-016,7
DLV-000243,UNT-00537,PRJ-001,CTR-004,2025-10-18,2025-11-01,Delayed,10,TB-2510-019,14
DLV-000244,UNT-03494,PRJ-002,CTR-008,2025-06-06,,Planned,12,TB-2506-042,0
