PlanID,UnitID,ProjectID,PlannedStatusID,PlannedDate,PlannedQuantity,BaselineVersion,PlanMonth
PLN-000210,UNT-00042,PRJ-001,STS-007,2025-06-17,2,BL-01,2025-06
PLN-000211,UNT-00043,PRJ-001,STS-002,2026-04-17,10,BL-02,2026-04
PLN-000212,UNT-00043,PRJ-001,STS-004,2026-05-19,10,BL-02,2026-05
PLN-000213,UNT-00043,PRJ-001,STS-005,2026-05-22,10,BL-02,2026-05
PLN-000214,UNT-00043,PRJ-001,STS-006,2026-06-22,10,BL-02,2026-06
PLN-000215,UNT-00043,PRJ-001,STS-007,2026-07-14,10,BL-02,2026-07
PLN-000216,UNT-00044,PRJ-001,STS-002,2025-12-24,8,BL-01,2025-12
PLN-000217,UNT-00044,PRJ-001,STS-004,2026-01-26,8,BL-02,2026-01
PLN-000218,UNT-00044,PRJ-001,STS-005,2026-02-07,8,BL-01,2026-02
PLN-000219,UNT-00044,PRJ-001,STS-006,2026-02-25,8,BL-02,2026-02
PLN-000220,UNT-00044,PRJ-001,STS-007,2026-04-03,8,BL-01,2026-04
PLN-000221,UNT-00045,PRJ-001,STS-002,2026-06-06,12,BL-02,2026-06
PLN-000222,UNT-00045,PRJ-001,STS-004,2026-07-06,12,BL-02,2026-07
PLN-000223,UNT-00045,PRJ-001,STS-005,2026-07-16,12,BL-01,2026-07
PLN-000224,UNT-00045,PRJ-001,STS-006,2026-08-17,12,BL-02,2026-08
PLN-000225,UNT-00045,PRJ-001,STS-007,2026-09-15,12,BL-02,2026-09
PLN-000226,UNT-00046,PRJ-001,STS-002,2025-12-20,2,BL-01,2025-12
PLN-000227,UNT-00046,PRJ-001,STS-004,2026-01-08,2,BL-01,2026-01
PLN-000228,UNT-00046,PRJ-001,STS-005,2026-01-20,2,BL-02,2026-01
PLN-000229,UNT-00046,PRJ-001,STS-006,2026-02-22,2,BL-01,2026-02
PLN-000230,UNT-00046,PRJ-001,STS-007,2026-03-13,2,BL-01,2026-03
PLN-000231,UNT-00047,PRJ-001,STS-002,2025-06-17,9,BL-02,2025-06
PLN-000232,UNT-00047,PRJ-001,STS-004,2025-07-02,9,BL-02,2025-07
PLN-000233,UNT-00047,PRJ-001,STS-005,2025-07-24,9,BL-02,2025-07
PLN-000234,UNT-00047,PRJ-001,STS-006,2025-08-25,9,BL-02,2025-08
PLN-000235,UNT-00047,PRJ-001,STS-007,2025-09-21,9,BL-02,2025-09
PLN-000236,UNT-00048,PRJ-001,STS-002,2025-10-30,8,BL-02,2025-10
PLN-000237,UNT-00048,PRJ-001,STS-004,2025-11-14,8,BL-02,2025-11
PLN-000238,UNT-00048,PRJ-001,STS-005,2025-12-06,8,BL-02,2025-12
PLN-000239,UNT-00048,PRJ-001,STS-006,2025-12-27,8,BL-01,2025-12
PLN-000240,UNT-00048,PRJ-001,STS-007,2026-01-18,8,BL-01,2026-01
PLN-000241,UNT-00049,PRJ-001,STS-002,2026-04-16,4,BL-01,2026-04
PLN-000242,UNT-00049,PRJ-001,STS-004,2026-04-26,4,BL-01,2026-04
PLN-000243,UNT-00049,PRJ-001,STS-005,2026-05-27,4,BL-01,2026-05
PLN-000244,UNT-00049,PRJ-001,STS-006,2026-06-16,4,BL-01,2026-06
PLN-000245,UNT-00049,PRJ-001,STS-007,2026-07-03,4,BL-02,2026-07
PLN-000246,UNT-00050,PRJ-001,STS-002,2026-03-26,5,BL-02,2026-03
PLN-000247,UNT-00050,PRJ-001,STS-004,2026-04-18,5,BL-01,2026-04
PLN-000248,UNT-00050,PRJ-001,STS-005,2026-05-06,5,BL-02,2026-05
PLN-000249,UNT-00050,PRJ-001,STS-006,2026-05-31,5,BL-01,2026-05
PLN-000250,UNT-00050,PRJ-001,STS-007,2026-06-13,5,BL-01,2026-06
PLN-000251,UNT-00051,PRJ-001,STS-002,2026-06-30,4,BL-01,2026-06
PLN-000252,UNT-00051,PRJ-001,STS-004,2026-07-19,4,BL-02,2026-07
PLN-000253,UNT-00051,PRJ-001,STS-005,2026-08-08,4,BL-01,2026-08
PLN-000254,UNT-00051,PRJ-001,STS-006,2026-09-11,4,BL-02,2026-09
PLN-000255,UNT-00051,PRJ-001,STS-007,2026-09-24,4,BL-01,2026-09
PLN-000256,UNT-00052,PRJ-001,STS-002,2025-12-16,9,BL-02,2025-12
PLN-000257,UNT-00052,PRJ-001,STS-004,2026-01-10,9,BL-02,2026-01
PLN-000258,UNT-00052,PRJ-001,STS-005,2026-02-01,9,BL-02,2026-02
PLN-000259,UNT-00052,PRJ-001,STS-006,2026-02-17,9,BL-02,2026-02
PLN-000260,UNT-00052,PRJ-001,STS-007,2026-03-09,9,BL-02,2026-03
PLN-000261,UNT-00053,PRJ-001,STS-002,2025-01-29,6,BL-01,2025-01
PLN-000262,UNT-00053,PRJ-001,STS-004,2025-03-02,6,BL-01,2025-03
PLN-000263,UNT-00053,PRJ-001,STS-005,2025-03-20,6,BL-02,2025-03
PLN-000264,UNT-00053,PRJ-001,STS-006,2025-04-01,6,BL-01,2025-04
PLN-000265,UNT-00053,PRJ-001,STS-007,2025-05-07,6,BL-02,2025-05
PLN-000266,UNT-00054,PRJ-001,STS-002,2026-04-30,8,BL-01,2026-04
PLN-000267,UNT-00054,PRJ-001,STS-004,2026-05-30,8,BL-01,2026-05
PLN-000268,UNT-00054,PRJ-001,STS-005,2026-05-31,8,BL-02,2026-05
PLN-000269,UNT-00054,PRJ-001,STS-006,2026-06-27,8,BL-01,2026-06
PLN-000270,UNT-00054,PRJ-001,STS-007,2026-08-03,8,BL-02,2026-08
PLN-000271,UNT-00055,PRJ-001,STS-002,2025-03-21,5,BL-02,2025-03
PLN-000272,UNT-00055,PRJ-001,STS-004,2025-04-12,5,BL-01,2025-04
PLN-000273,UNT-00055,PRJ-001,STS-005,2025-04-27,5,BL-01,2025-04
PLN-000274,UNT-00055,PRJ-001,STS-006,2025-05-22,5,BL-01,2025-05
PLN-000275,UNT-00055,PRJ-001,STS-007,2025-06-05,5,BL-02,2025-06
PLN-000276,UNT-00056,PRJ-001,STS-002,2025-05-04,11,BL-02,2025-05
PLN-000277,UNT-00056,PRJ-001,STS-004,2025-05-27,11,BL-02,2025-05
PLN-000278,UNT-00056,PRJ-001,STS-005,2025-06-02,11,BL-01,2025-06
PLN-000279,UNT-00056,PRJ-001,STS-006,2025-06-26,11,BL-01,2025-06
PLN-000280,UNT-00056,PRJ-001,STS-007,2025-08-02,11,BL-01,2025-08
PLN-000281,UNT-00057,PRJ-001,STS-002,2025-11-12,4,BL-02,2025-11
PLN-000282,UNT-00057,PRJ-001,STS-004,2025-12-07,4,BL-01,2025-12
PLN-000283,UNT-00057,PRJ-001,STS-005,2025-12-16,4,BL-01,2025-12
PLN-000284,UNT-00057,PRJ-001,STS-006,2026-01-14,4,BL-02,2026-01
PLN-000285,UNT-00057,PRJ-001,STS-007,2026-02-11,4,BL-01,2026-02
PLN-000286,UNT-00058,PRJ-001,STS-002,2026-03-25,4,BL-01,2026-03
PLN-000287,UNT-00058,PRJ-001,STS-004,2026-04-19,4,BL-02,2026-04
PLN-000288,UNT-00058,PRJ-001,STS-005,2026-05-09,4,BL-02,2026-05
PLN-000289,UNT-00058,PRJ-001,STS-006,2026-06-04,4,BL-02,2026-06
PLN-000290,UNT-00058,PRJ-001,STS-007,2026-07-01,4,BL-02,2026-07
PLN-000291,UNT-00059,PRJ-001,STS-002,2025-11-07,9,BL-01,2025-11
PLN-000292,UNT-00059,PRJ-001,STS-004,2025-11-26,9,BL-01,2025-11
PLN-000293,UNT-00059,PRJ-001,STS-005,2025-12-12,9,BL-01,2025-12
PLN-000294,UNT-00059,PRJ-001,STS-006,2026-01-16,9,BL-01,2026-01
PLN-000295,UNT-00059,PRJ-001,STS-007,2026-02-10,9,BL-01,2026-02
PLN-000296,UNT-00060,PRJ-001,STS-002,2025-10-18,9,BL-02,2025-10
PLN-000297,UNT-00060,PRJ-001,STS-004,2025-11-10,9,BL-02,2025-11
PLN-000298,UNT-00060,PRJ-001,STS-005,2025-12-04,9,BL-01,2025-12
PLN-000299,UNT-00060,PRJ-001,STS-006,2025-12-25,9,BL-01,2025-12
PLN-000300,UNT-00060,PRJ-001,STS-007,2026-01-14,9,BL-01,2026-01
PLN-000301,UNT-00061,PRJ-001,STS-002,2026-04-01,8,BL-01,2026-04
PLN-000302,UNT-00061,PRJ-001,STS-004,2026-04-24,8,BL-01,2026-04
PLN-000303,UNT-00061,PRJ-001,STS-005,2026-05-14,8,BL-02,2026-05
PLN-000304,UNT-00061,PRJ-001,STS-006,2026-05-23,8,BL-02,2026-05
PLN-000305,UNT-00061,PRJ-001,STS-007,2026-06-18,8,BL-01,2026-06
PLN-000306,UNT-00062,PRJ-001,STS-002,2026-05-09,5,BL-02,2026-05
PLN-000307,UNT-00062,PRJ-001,STS-004,2026-05-31,5,BL-01,2026-05
PLN-000308,UNT-00062,PRJ-001,STS-005,2026-06-19,5,BL-02,2026-06
